,Unnamed: 0,Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,StartDate,cum_wins,counter,cum_h2h_wins,counter_h2h,Pct_win,Pct_head_to_head_win,Toss_Win_Flag,Game_Win_Flag,Bat_First_Flag
0,19.0,Australia,lost,5 wickets,7.0,won,1st,South Africa,Brisbane,15 Jan 2006,16.0,19,0.0,0,0.842105263158,,1,0,1
1,20.0,Australia,won,59 runs,,won,1st,South Africa,Melbourne (Docklands),20 Jan 2006,16.0,20,0.0,1,0.8,0.0,1,1,1
2,24.0,Australia,won,80 runs,,won,1st,South Africa,Melbourne (Docklands),3 Feb 2006,19.0,24,1.0,2,0.791666666667,0.5,1,1,1
3,25.0,Australia,won,57 runs,,won,1st,South Africa,Sydney,5 Feb 2006,20.0,25,2.0,3,0.8,0.666666666667,1,1,1
4,29.0,Australia,lost,6 wickets,21.0,won,1st,South Africa,Centurion,26 Feb 2006,23.0,29,3.0,4,0.793103448276,0.75,1,0,1
5,30.0,Australia,lost,196 runs,,lost,2nd,South Africa,Cape Town,3 Mar 2006,23.0,30,3.0,5,0.766666666667,0.6,0,0,0
6,31.0,Australia,won,24 runs,,lost,1st,South Africa,Port Elizabeth,5 Mar 2006,23.0,31,3.0,6,0.741935483871,0.5,0,1,1
7,32.0,Australia,won,1 wickets,5.0,lost,2nd,South Africa,Durban,10 Mar 2006,24.0,32,4.0,7,0.75,0.571428571429,0,1,0
8,33.0,Australia,lost,1 wickets,1.0,won,1st,South Africa,Johannesburg,12 Mar 2006,25.0,33,5.0,8,0.757575757576,0.625,1,0,1
9,52.0,Australia,won,83 runs,,lost,1st,South Africa,Basseterre,24 Mar 2007,38.0,52,5.0,9,0.730769230769,0.555555555556,0,1,1
10,57.0,Australia,won,7 wickets,111.0,lost,2nd,South Africa,Gros Islet,25 Apr 2007,43.0,57,6.0,10,0.754385964912,0.6,0,1,0
11,84.0,Australia,lost,3 wickets,3.0,won,1st,South Africa,Melbourne,16 Jan 2009,64.0,84,7.0,11,0.761904761905,0.636363636364,1,0,1
12,85.0,Australia,won,5 runs,,lost,1st,South Africa,Hobart,18 Jan 2009,64.0,85,7.0,12,0.752941176471,0.583333333333,0,1,1
13,86.0,Australia,lost,3 wickets,21.0,won,1st,South Africa,Sydney,23 Jan 2009,65.0,86,8.0,13,0.755813953488,0.615384615385,1,0,1
14,87.0,Australia,lost,8 wickets,71.0,won,1st,South Africa,Adelaide,26 Jan 2009,65.0,87,8.0,14,0.747126436782,0.571428571429,1,0,1
15,88.0,Australia,lost,39 runs,,lost,2nd,South Africa,Perth,30 Jan 2009,65.0,88,8.0,15,0.738636363636,0.533333333333,0,0,0
16,93.0,Australia,won,141 runs,,won,1st,South Africa,Durban,3 Apr 2009,67.0,93,8.0,16,0.720430107527,0.5,1,1,1
17,94.0,Australia,lost,7 wickets,142.0,won,1st,South Africa,Centurion,5 Apr 2009,68.0,94,9.0,17,0.723404255319,0.529411764706,1,0,1
18,95.0,Australia,lost,25 runs,,lost,2nd,South Africa,Cape Town,9 Apr 2009,68.0,95,9.0,18,0.715789473684,0.5,0,0,0
19,96.0,Australia,lost,61 runs,,won,2nd,South Africa,Port Elizabeth,13 Apr 2009,68.0,96,9.0,19,0.708333333333,0.473684210526,1,0,0
20,97.0,Australia,won,47 runs,,lost,1st,South Africa,Johannesburg,17 Apr 2009,68.0,97,9.0,20,0.701030927835,0.45,0,1,1
